lex,antonym
destructibility,indestructibility
earliness,lateness
priority,posteriority
punctuality,tardiness
seasonableness,unseasonableness
timeliness,untimeliness
pastness,presentness
futurity,pastness
longness,shortness
permanence,impermanence
mortality,immortality
symmetry,asymmetry
radial_symmetry,radial_asymmetry
abruptness,gradualness
angularity,roundness
pointedness,unpointedness
concentricity,eccentricity
straightness,crookedness
curliness,straightness
centrality,marginality
anteriority,posteriority
northernness,southernness
farness,nearness
distribution,concentration
profundity,superficiality
high,low
largeness,smallness
bigness,littleness
positivity,negativity
positiveness,negativeness
sufficiency,insufficiency
abundance,scarcity
moderation,immoderation
majority,minority
deepness,shallowness
wideness,narrowness
highness,lowness
worth,worthlessness
merit,demerit
desirability,undesirability
reward,penalty
bad,good
badness,goodness
expensiveness,inexpensiveness
fruitfulness,fruitlessness
productiveness,unproductiveness
utility,inutility
usefulness,uselessness
practicality,impracticality
practicability,impracticability
practicableness,impracticableness
feasibility,infeasibility
competence,incompetence
asset,liability
advantage,disadvantage
profitableness,unprofitableness
profitability,unprofitability
expedience,inexpedience
expediency,inexpediency
strong_point,weak_point
advisability,inadvisability
favorableness,unfavorableness
auspiciousness,inauspiciousness
propitiousness,unpropitiousness
constructiveness,destructiveness
importance,unimportance
significance,insignificance
meaningfulness,meaninglessness
purposefulness,purposelessness
consequence,inconsequence
essentiality,inessentiality
indispensability,dispensability
indispensableness,dispensableness
power,powerlessness
powerfulness,powerlessness
persuasiveness,unpersuasiveness
interestingness,uninterestingness
effectiveness,ineffectiveness
efficacy,inefficacy
ability,inability
capability,incapability
capableness,incapableness
capacity,incapacity
infiniteness,finiteness
solubility,insolubility
optimism,pessimism
responsiveness,unresponsiveness
solvability,unsolvability
extensor,flexor
effector,receptor
cortex,medulla
judiciousness,injudiciousness
intelligence,stupidity
aptitude,inaptitude
perfectibility,imperfectibility
creativeness,uncreativeness
Heaven,Hell
literacy,illiteracy
skillfulness,unskillfulness
coordination,incoordination
fluency,disfluency
efficiency,inefficiency
kinesthesia,kinanesthesia
merit_system,spoils_system
consciousness,unconsciousness
cognizance,incognizance
self-consciousness,unselfconsciousness
sensibility,insensibility
waking,sleeping
attention,inattention
experience,inexperience
analysis,synthesis
convergent_thinking,divergent_thinking
comprehension,incomprehension
particular,general
specific,general
conception,misconception
type,antitype
convergence,divergence
convergency,divergency
beginning,middle
end,beginning
pleasure_principle,reality_principle
yang,yin
figure,ground
belief,unbelief
apophatism,cataphatism
doctrine_of_analogy,apophatism
formalism,imitation
internationalism,nationalism
monism,pluralism
multiculturalism,nationalism
environmentalism,hereditarianism
enlightenment,unenlightenment
closed_interval,open_interval
eugenics,dysgenics
atomism,holism
wave_theory,corpuscular_theory
wave_theory_of_light,corpuscular_theory_of_light
classicism,Romanticism
descriptive_linguistics,prescriptive_linguistics
Arianism,Athanasianism
partiality,impartiality
tolerance,intolerance
broad-mindedness,narrow-mindedness
respect,disrespect
reverence,irreverence
conformism,nonconformism
dovishness,hawkishness
atheism,theism
monotheism,polytheism
recto,verso
snail_mail,electronic_mail
e-mail,snail_mail
email,snail_mail
antonym,synonym
plural,singular
nominative,oblique
construction,misconstruction
proper_noun,common_noun
flashback,flash-forward
trade_edition,text_edition
object_program,source_program
euphemism,dysphemism
air_mail,surface_mail
hospitality,inhospitality
pro,con
intervention,nonintervention
interference,noninterference
approbation,disapprobation
encouragement,discouragement
truth,falsehood
direct_evidence,circumstantial_evidence
particular_proposition,universal_proposition
universal,particular
categorem,syncategorem
categoreme,syncategoreme
overstatement,understatement
indication,contraindication
Arabic_numeral,Roman_numeral
superscript,subscript
uppercase,lowercase
fixed-width_font,proportional_font
modern,old_style
tonality,atonality
artificial_language,natural_language
multidimensional_language,one-dimensional_language
stratified_language,unstratified_language
comedy,tragedy
monophony,polyphony
monophonic_music,polyphonic_music
preparation,resolution
augmentation,diminution
terseness,verboseness
vowel,consonant
stop_consonant,continuant_consonant
indirect_discourse,direct_discourse
agreement,disagreement
question,answer
affirmative,negative
yes,no
yea,nay
persuasion,dissuasion
ending,beginning
embarrassment,disembarrassment
failure,success
birth,death
egress,ingress
emersion,immersion
rise,fall
gravitation,levitation
high_tide,low_tide
ebbtide,flood_tide
neap_tide,springtide
waxing,waning
cross-fertilization,self-fertilization
allogamy,autogamy
cross-pollination,self-pollination
dextrorotation,levorotation
victory,defeat
aphrodisia,anaphrodisia
pleasure,pain
liking,dislike
inclination,disinclination
Anglophilia,Anglophobia
philogyny,misogyny
gratitude,ingratitude
concern,unconcern
pride,humility
levity,gravity
agitation,calmness
fear,fearlessness
diffidence,confidence
happiness,sadness
joy,sorrow
euphoria,dysphoria
contentment,discontentment
satisfaction,dissatisfaction
cheerlessness,cheerfulness
hope,despair
hopefulness,hopelessness
love,hate
benevolence,malevolence
good_humor,ill_humor
eating_apple,cooking_apple
skim_milk,whole_milk
generic,varietal
generic_wine,varietal_wine
aged,young
brave,timid
dead,living
initiate,uninitiate
fauna,flora
offense,defense
offence,defence
clergy,laity
poor_people,rich_people
poor,rich
nonsingular_matrix,singular_matrix
alignment,nonalignment
capitalism,socialism
market_economy,non-market_economy
friendly,hostile
day_school,boarding_school
night_school,day_school
civil_law,international_law
here,there
apex,antapex
apogee,perigee
apoapsis,periapsis
point_of_apoapsis,point_of_periapsis
aphelion,perihelion
apojove,perijove
aposelene,periselene
apolune,perilune
ascending_node,descending_node
node,antinode
foot,head
inside,outside
leeward,windward
maximum,minimum
nadir,zenith
left,right
