lex,antonym
cross-eyed,walleyed
crowned,uncrowned
crucial,noncrucial
crystallized,uncrystallized
cubic,linear
planar,cubic
unidimensional,multidimensional
cut,uncut
curious,incurious
current,noncurrent
cursed,blessed
endowed,unendowed
curtained,curtainless
custom-made,ready-made
handmade,machine-made
homemade,factory-made
cyclic,noncyclic
acyclic,cyclic
annual,biennial
perennial,annual
diurnal,nocturnal
damaged,undamaged
datable,undatable
deaf,hearing
decent,indecent
decisive,indecisive
declarative,interrogative
declaratory,interrogatory
declared,undeclared
decorous,indecorous
deductible,nondeductible
deep,shallow
de_facto,de_jure
defeasible,indefeasible
defeated,undefeated
defiant,compliant
defined,undefined
well-defined,ill-defined
derived,underived
inflected,uninflected
definite,indefinite
dehiscent,indehiscent
dejected,elated
delicate,rugged
breakable,unbreakable
demanding,undemanding
imperative,beseeching
democratic,undemocratic
arbitrary,nonarbitrary
demonstrative,undemonstrative
deniable,undeniable
denotative,connotative
reliable,unreliable
dependable,undependable
dependent,independent
partisan,nonpartisan
aligned,nonaligned
descriptive,prescriptive
undescriptive,descriptive
desirable,undesirable
destroyed,preserved
destructible,indestructible
determinable,indeterminable
determinate,indeterminate
developed,undeveloped
dextral,sinistral
diabatic,adiabatic
differentiated,undifferentiated
difficult,easy
digitigrade,plantigrade
dignified,undignified
statesmanlike,unstatesmanlike
presidential,unpresidential
dicotyledonous,monocotyledonous
diligent,negligent
diluted,undiluted
diplomatic,undiplomatic
conciliatory,antagonistic
direct,indirect
alternating,direct
inverse,direct
immediate,mediate
discerning,undiscerning
discreet,indiscreet
discriminate,indiscriminate
discriminating,undiscriminating
disposable,nondisposable
returnable,nonreturnable
distal,proximal
mesial,distal
distinct,indistinct
focused,unfocused
diversified,undiversified
divisible,indivisible
documented,undocumented
domineering,submissive
servile,unservile
dominant,subordinate
recessive,dominant
single-barreled,double-barreled
double-breasted,single-breasted
dramatic,undramatic
actable,unactable
theatrical,untheatrical
drinkable,undrinkable
intoxicated,sober
sharp,dull
eventful,uneventful
lively,dull
dynamic,undynamic
eager,uneager
eared,earless
early,middle
late,early
earned,unearned
uneasy,easy
east,west
western,eastern
ectomorphic,endomorphic
mesomorphic,ectomorphic
edible,inedible
educated,uneducated
numerate,innumerate
operative,inoperative
effective,ineffective
effortful,effortless
efficacious,inefficacious
efficient,inefficient
forceful,forceless
elastic,inelastic
elective,appointive
assigned,unassigned
optional,obligatory
elegant,inelegant
eligible,ineligible
emotional,unemotional
empirical,theoretical
applied,theoretical
salaried,freelance
employed,unemployed
employable,unemployable
enchanted,disenchanted
encouraging,discouraging
encumbered,unencumbered
burdened,unburdened
endocentric,exocentric
endogamous,exogamous
autogamous,endogamous
endoergic,exoergic
endothermic,exothermic
endogenous,exogenous
endogenic,exogenic
end-stopped,run-on
energetic,lethargic
enfranchised,disenfranchised
exportable,unexportable
exploratory,nonexploratory
inquiring,uninquiring
increased,decreased
reducible,irreducible
enlightened,unenlightened
enterprising,unenterprising
enthusiastic,unenthusiastic
desirous,undesirous
entozoic,epizoic
equal,unequal
balanced,unbalanced
hypertonic,hypotonic
equivocal,unequivocal
eradicable,ineradicable
esoteric,exoteric
essential,inessential
dispensable,indispensable
estimable,contemptible
ethical,unethical
complimentary,uncomplimentary
flattering,unflattering
euphemistic,dysphemistic
euphoric,dysphoric
even,uneven
odd,even
evergreen,deciduous
exact,inexact
convertible,inconvertible
exchangeable,unexchangeable
excitable,unexcitable
excited,unexcited
exciting,unexciting
exculpatory,inculpatory
exhaustible,inexhaustible
exhausted,unexhausted
existent,nonexistent
extant,extinct
expected,unexpected
expedient,inexpedient
expendable,unexpendable
expensive,cheap
experienced,inexperienced
expired,unexpired
explicable,inexplicable
explicit,implicit
exploited,unexploited
expressible,inexpressible
extensile,nonextensile
extricable,inextricable
bowed,plucked
fingered,fingerless
expansive,unexpansive
extinguishable,inextinguishable
external,internal
outer,inner
outward,inward
exterior,interior
eyed,eyeless
playable,unplayable
fair,foul
unfair,fair
equitable,inequitable
faithful,unfaithful
loyal,disloyal
fallible,infallible
familiar,unfamiliar
strange,familiar
fashionable,unfashionable
stylish,styleless
fast,slow
fastidious,unfastidious
fat,thin
fatty,nonfat
fatal,nonfatal
curable,incurable
fathomable,unfathomable
favorable,unfavorable
feathered,unfeathered
felicitous,infelicitous
fertile,sterile
finished,unfinished
finite,infinite
opening,closing
first,last
intermediate,terminal
second,first
fissile,nonfissile
fissionable,nonfissionable
fit,unfit
flat,contrasty
flexible,inflexible
uncompromising,compromising
rigid,nonrigid
adaptable,unadaptable
campylotropous,orthotropous
anatropous,amphitropous
curly,straight
footed,footless
toed,toeless
pigeon-toed,splayfooted
fore,aft
forehand,backhand
native,adopted
foreign,native
nonnative,native
domestic,foreign
undomestic,domestic
forgettable,unforgettable
forgiving,unforgiving
formal,informal
former,latter
fortunate,unfortunate
fragrant,malodorous
odorous,odorless
scented,scentless
free,bound
fixed,unfixed
unfree,free
frequent,infrequent
fresh,stale
salty,fresh
friendly,unfriendly
hostile,friendly
frozen,unfrozen
fruitful,unfruitful
full,empty
drained,undrained
full-time,part-time
functional,nonfunctional
functioning,malfunctioning
organic,functional
rigged,unrigged
equipped,unequipped
fledged,unfledged
framed,unframed
furnished,unfurnished
funded,unfunded
fueled,unfueled
specified,unspecified
geared,ungeared
general,specific
nonspecific,specific
national,local
endemic,cosmopolitan
branchiate,abranchiate
federal,unitary
centralized,decentralized
technical,nontechnical
nonproprietary,proprietary
generous,stingy
ungenerous,generous
genuine,counterfeit
geocentric,heliocentric
talented,untalented
glazed,unglazed
glorious,inglorious
go,no-go
good,bad
evil,good
good-natured,ill-natured
graceful,awkward
gracious,ungracious
gradual,sudden
steep,gradual
grammatical,ungrammatical
grateful,ungrateful
haploid,diploid
polyploid,haploid
happy,unhappy
regretful,unregretful
hard,soft
