axis,count
clockwise<-v->counterclockwise,1
far<-v->near,70
distant<-v->close,112
cousinly<-v->uncousinly,1
clothed<-v->unclothed,1
saddled<-v->unsaddled,0
cloudy<-v->clear,81
coastal<-v->inland,2
inshore<-v->offshore,0
collapsible<-v->noncollapsible,1
crannied<-v->uncrannied,0
collective<-v->distributive,8
publicized<-v->suppressed,1
published<-v->unpublished,4
publishable<-v->unpublishable,0
reported<-v->unreported,2
reportable<-v->unreportable,0
combinative<-v->noncombinative,0
combustible<-v->noncombustible,0
explosive<-v->nonexplosive,6
lighted<-v->unlighted,12
commodious<-v->incommodious,0
comfortable<-v->uncomfortable,23
commensurate<-v->incommensurate,3
proportionate<-v->disproportionate,5
commercial<-v->noncommercial,24
residential<-v->nonresidential,18
commissioned<-v->noncommissioned,1
common<-v->uncommon,75
usual<-v->unusual,57
hydrophobic<-v->hydrophilic,4
oleophilic<-v->oleophobic,4
individual<-v->common,123
communicative<-v->uncommunicative,3
compact<-v->loose,10
comparable<-v->incomparable,12
compassionate<-v->uncompassionate,0
compatible<-v->incompatible,8
miscible<-v->immiscible,0
competent<-v->incompetent,10
competitive<-v->noncompetitive,18
complaining<-v->uncomplaining,0
compressible<-v->incompressible,0
whole<-v->fractional,110
half<-v->whole,142
committed<-v->uncommitted,3
dedicated<-v->undedicated,3
complete<-v->incomplete,80
comprehensive<-v->noncomprehensive,8
composed<-v->discomposed,2
comprehensible<-v->incomprehensible,2
concave<-v->convex,4
concentrated<-v->distributed,12
concentric<-v->eccentric,5
concerned<-v->unconcerned,31
concise<-v->prolix,1
conclusive<-v->inconclusive,3
consummated<-v->unconsummated,1
coordinating<-v->subordinating,0
accordant<-v->discordant,0
contracted<-v->expanded,3
atrophied<-v->hypertrophied,2
conditional<-v->unconditional,2
enforceable<-v->unenforceable,1
enforced<-v->unenforced,1
conductive<-v->nonconductive,0
confined<-v->unconfined,0
crowded<-v->uncrowded,12
congenial<-v->uncongenial,0
congruent<-v->incongruent,0
congruous<-v->incongruous,0
conjunctive<-v->disjunctive,0
conjunct<-v->disjunct,0
connected<-v->unconnected,8
conquerable<-v->unconquerable,1
conscious<-v->unconscious,20
consecrated<-v->desecrated,0
priestly<-v->unpriestly,0
conservative<-v->liberal,29
consistent<-v->inconsistent,9
conspicuous<-v->inconspicuous,2
discernible<-v->indiscernible,4
distinguishable<-v->indistinguishable,5
constant<-v->inconstant,16
constructive<-v->destructive,11
contented<-v->discontented,4
contestable<-v->incontestable,0
continent<-v->incontinent,0
continual<-v->sporadic,7
continuous<-v->discontinuous,20
continued<-v->discontinued,12
controlled<-v->uncontrolled,6
controversial<-v->uncontroversial,1
argumentative<-v->unargumentative,1
convenient<-v->inconvenient,17
conventional<-v->unconventional,19
conformist<-v->nonconformist,0
nuclear<-v->conventional,37
traditional<-v->nontraditional,26
convergent<-v->divergent,2
branchy<-v->branchless,0
convincing<-v->unconvincing,6
cooked<-v->raw,14
cooperative<-v->uncooperative,12
corrupt<-v->incorrupt,3
synergistic<-v->antagonistic,3
considerable<-v->inconsiderable,33
substantial<-v->insubstantial,24
material<-v->immaterial,11
bodied<-v->unbodied,0
brainwashed<-v->unbrainwashed,0
corporeal<-v->incorporeal,1
correct<-v->incorrect,13
right<-v->wrong,110
corrected<-v->uncorrected,0
corrigible<-v->incorrigible,0
cosmopolitan<-v->provincial,5
costive<-v->laxative,0
constipated<-v->unconstipated,0
considerate<-v->inconsiderate,2
courteous<-v->discourteous,2
polite<-v->impolite,4
civil<-v->uncivil,8
sidereal<-v->civil,8
creative<-v->uncreative,16
credible<-v->incredible,12
credulous<-v->incredulous,0
critical<-v->uncritical,24
judgmental<-v->nonjudgmental,0
noncritical<-v->critical,23
crossed<-v->uncrossed,1
cross-eyed<-v->walleyed,0
crowned<-v->uncrowned,1
crucial<-v->noncrucial,7
crystallized<-v->uncrystallized,0
cubic<-v->linear,7
planar<-v->cubic,2
unidimensional<-v->multidimensional,1
cut<-v->uncut,5
curious<-v->incurious,27
current<-v->noncurrent,17
cursed<-v->blessed,5
endowed<-v->unendowed,1
curtained<-v->curtainless,1
custom-made<-v->ready-made,1
handmade<-v->machine-made,2
homemade<-v->factory-made,1
cyclic<-v->noncyclic,0
acyclic<-v->cyclic,0
annual<-v->biennial,1
perennial<-v->annual,3
diurnal<-v->nocturnal,1
damaged<-v->undamaged,1
datable<-v->undatable,0
deaf<-v->hearing,7
decent<-v->indecent,7
decisive<-v->indecisive,9
declarative<-v->interrogative,1
declaratory<-v->interrogatory,0
declared<-v->undeclared,2
decorous<-v->indecorous,0
deductible<-v->nondeductible,3
deep<-v->shallow,68
de_facto<-v->de_jure,0
defeasible<-v->indefeasible,0
defeated<-v->undefeated,0
defiant<-v->compliant,2
defined<-v->undefined,2
well-defined<-v->ill-defined,1
derived<-v->underived,1
inflected<-v->uninflected,0
definite<-v->indefinite,21
dehiscent<-v->indehiscent,0
dejected<-v->elated,1
delicate<-v->rugged,24
breakable<-v->unbreakable,1
demanding<-v->undemanding,4
imperative<-v->beseeching,2
democratic<-v->undemocratic,21
arbitrary<-v->nonarbitrary,8
demonstrative<-v->undemonstrative,0
deniable<-v->undeniable,2
denotative<-v->connotative,0
reliable<-v->unreliable,13
dependable<-v->undependable,5
dependent<-v->independent,38
partisan<-v->nonpartisan,0
aligned<-v->nonaligned,0
descriptive<-v->prescriptive,2
undescriptive<-v->descriptive,2
desirable<-v->undesirable,18
destroyed<-v->preserved,4
destructible<-v->indestructible,0
determinable<-v->indeterminable,1
determinate<-v->indeterminate,2
developed<-v->undeveloped,20
dextral<-v->sinistral,0
diabatic<-v->adiabatic,0
differentiated<-v->undifferentiated,4
difficult<-v->easy,132
digitigrade<-v->plantigrade,0
dignified<-v->undignified,3
statesmanlike<-v->unstatesmanlike,1
presidential<-v->unpresidential,8
dicotyledonous<-v->monocotyledonous,0
diligent<-v->negligent,2
diluted<-v->undiluted,1
diplomatic<-v->undiplomatic,3
conciliatory<-v->antagonistic,3
direct<-v->indirect,54
alternating<-v->direct,44
inverse<-v->direct,45
immediate<-v->mediate,11
discerning<-v->undiscerning,1
discreet<-v->indiscreet,0
discriminate<-v->indiscriminate,1
discriminating<-v->undiscriminating,1
disposable<-v->nondisposable,0
returnable<-v->nonreturnable,0
distal<-v->proximal,11
mesial<-v->distal,9
distinct<-v->indistinct,26
focused<-v->unfocused,0
diversified<-v->undiversified,3
divisible<-v->indivisible,0
documented<-v->undocumented,0
domineering<-v->submissive,5
servile<-v->unservile,1
dominant<-v->subordinate,53
recessive<-v->dominant,51
single-barreled<-v->double-barreled,0
double-breasted<-v->single-breasted,1
dramatic<-v->undramatic,18
actable<-v->unactable,0
theatrical<-v->untheatrical,2
drinkable<-v->undrinkable,1
intoxicated<-v->sober,11
sharp<-v->dull,58
eventful<-v->uneventful,0
lively<-v->dull,26
dynamic<-v->undynamic,3
eager<-v->uneager,20
eared<-v->earless,1
early<-v->middle,130
late<-v->early,165
earned<-v->unearned,2
uneasy<-v->easy,84
east<-v->west,15
western<-v->eastern,35
ectomorphic<-v->endomorphic,0
mesomorphic<-v->ectomorphic,0
edible<-v->inedible,0
educated<-v->uneducated,5
numerate<-v->innumerate,0
operative<-v->inoperative,1
effective<-v->ineffective,56
effortful<-v->effortless,1
efficacious<-v->inefficacious,1
efficient<-v->inefficient,10
forceful<-v->forceless,3
elastic<-v->inelastic,6
elective<-v->appointive,0
assigned<-v->unassigned,1
optional<-v->obligatory,0
elegant<-v->inelegant,2
eligible<-v->ineligible,6
emotional<-v->unemotional,28
empirical<-v->theoretical,12
applied<-v->theoretical,8
salaried<-v->freelance,0
employed<-v->unemployed,3
employable<-v->unemployable,0
enchanted<-v->disenchanted,1
encouraging<-v->discouraging,1
encumbered<-v->unencumbered,0
burdened<-v->unburdened,1
endocentric<-v->exocentric,0
endogamous<-v->exogamous,0
autogamous<-v->endogamous,0
endoergic<-v->exoergic,0
endothermic<-v->exothermic,0
endogenous<-v->exogenous,0
endogenic<-v->exogenic,0
end-stopped<-v->run-on,0
energetic<-v->lethargic,5
enfranchised<-v->disenfranchised,0
exportable<-v->unexportable,0
exploratory<-v->nonexploratory,1
inquiring<-v->uninquiring,2
increased<-v->decreased,30
reducible<-v->irreducible,1
enlightened<-v->unenlightened,2
enterprising<-v->unenterprising,3
enthusiastic<-v->unenthusiastic,10
desirous<-v->undesirous,0
entozoic<-v->epizoic,0
